"State","OBJECTID","ZIP","OBJECTID_1","DEPCODE","COUNTYNAME","FieldMatch","POName","Places","OBJECTID_12","ZIPX","c_places","Cases_1","LabelY"
"Florida",8,"32003",67,10,"Clay","Clay-32003","Fleming Island","Orange Park, Fleming Island, Lakeside",171,"Clay-32003","Fleming Island, Green Cove Springs, Middleburg, Orange Park","465",465
"Florida",9,"32008",71,15,"Dixie","Dixie-32008","Branford","Branford",295,"Dixie-32008","","0",0
"Florida",25,"32044",109,1,"Alachua","Alachua-32044","Hampton","Louise",1,"Alachua-32044","","0",0
"Florida",34,"32058",131,10,"Clay","Clay-32058","Lawtey","Lawtey",173,"Clay-32058","","0",0
"Florida",35,"32058",132,63,"Union","Union-32058","Lawtey","Lawtey",1063,"Union-32058","","0",0
"Florida",41,"32064",149,61,"Suwannee","Suwannee-32064","Live Oak","Live Oak",1052,"Suwannee-32064","Boys Ranch, Dowling Park, Live Oak","431",431
"Florida",47,"32080",164,18,"Flagler","Flagler-32080","Saint Augustine","Marineland",356,"Flagler-32080","","0",0
"Florida",49,"32081",166,16,"Duval","Duval-32081","Ponte Vedra","Jacksonville, Nocatee",300,"Duval-32081","Ponte Vedra","<5",-2
"Florida",64,"32096",192,61,"Suwannee","Suwannee-32096","White Springs","White Springs",1055,"Suwannee-32096","","0",0
"Florida",71,"32114",210,64,"Volusia","Volusia-32114","Daytona Beach","Daytona Beach, South Daytona, Holly Hill",1067,"Volusia-32114","Daytona Beach","594",594
"Florida",72,"32117",211,64,"Volusia","Volusia-32117","Daytona Beach","Daytona Beach, Ormond Beach, Holly Hill",1068,"Volusia-32117","Daytona Beach, Holly Hill","815",815
"Florida",73,"32118",212,64,"Volusia","Volusia-32118","Daytona Beach","Daytona Beach, Ormond Beach, Port Orange, Daytona Beach Shores",1069,"Volusia-32118","Daytona Beach, Daytona Beach Shores","177",177
